OBJECTID,NAAM,TYPE,STRAATNAAM,DISTRICT,POSTCODE,CLUSTER,BEHEERDER,SHAPE_Length,SHAPE_Area
26306,STEYTELINCKPARK,park,SINT-BAVOSTRAAT,WILRIJK,2610,Cluster Zuid,SB,1242.92002930604,68331.1538596293
26307,STEYTELINCKPARK,park,SINT-BAVOSTRAAT,WILRIJK,2610,Cluster Zuid,SB,179.844748249968,1946.5003313719
26308,KLEINESTEENWEG,buurtpark,KLEINESTEENWEG,WILRIJK,2610,Cluster Zuid,,26.1393333354561,1.15535694582086
26309,VALAARPARK,park,HOF VAN MOLS,WILRIJK,2610,Cluster Zuid,SB,76.7769839979048,79.3483302857858
26310,DRIE BUNDERPARK,buurtpark,RENDIERSTRAAT,WILRIJK,2610,Cluster Zuid,SB,385.435554943038,5367.85922015385
26311,Speelterrein Romestraat,buurtpark,ROMESTRAAT,HOBOKEN,2660,Cluster Zuid,SB,637.145825466931,5342.65745682493
26312,HOLLEBEEKPARK,buurtpark,COOPERATIELAAN,HOBOKEN,2660,Cluster Zuid,SB,1067.2993041357,24950.4240117386
26313,HOLLEBEEK,park,LUCAS HENNINCKSTRAAT,WILRIJK,2610,Cluster Zuid,SB + natuurpunt,972.179239672546,4161.12423769618
26314,HOLLEBEEK,park,LUCAS HENNINCKSTRAAT,HOBOKEN,2660,Cluster Zuid,SB + natuurpunt,386.793680158033,5266.02662264921
26315,GROOT HAGELKRUISPARK,park,OORDERSEWEG,EKEREN,2180,Cluster Noord,SB,1332.82279391447,49999.8939398297
26316,SPEELTERREIN,buurtpark,WIJNGAARDBERG,MERKSEM,2170,Cluster Noord,SB,223.810080168151,2766.43083280292
26317,VILLEGASPARK,park,UITBREIDINGSTRAAT,BERCHEM,2600,Cluster Zuid,SB,630.633645931143,21337.2035457072
26318,SCHELDEWANDELING - SINT-ANNASTRAND,buurtpark,THONETLAAN,ANTWERPEN,2050,Cluster Zuid,SB,5943.59221409389,146712.496198597
26319,HOF DE BIST,park,VELTWIJCKLAAN,EKEREN,2180,Cluster Noord,SB,1948.67416833594,190189.786178689
26320,BROYDENBORG,park,MARNEFLAAN,HOBOKEN,2660,Cluster Zuid,SB,652.093439716235,23831.9202991544
26321,HERTOGSVELDEN BUURTPARK,buurtpark,HERTOGSVELDEN,HOBOKEN,2660,Cluster Zuid,,76.0004283079662,187.659525421052
